nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,9/28/2023,91657,9/28/2023,1.0
RJTL,9/29/2023,601823,,0.0
RJTL,9/30/2023,356208,,0.0
RJTL,10/1/2023,51913,,0.0
RJTL,10/2/2023,696457,,0.0
RJTL,10/3/2023,656276,,0.0
RJTL,10/4/2023,635883,,0.0
RJTL,10/5/2023,587669,,0.0
RJTL,10/6/2023,530797,,0.0
RJTL,10/7/2023,337982,,0.0
RJTL,10/8/2023,50208,,0.0
RJTL,10/9/2023,698272,,0.0
RJTL,10/10/2023,650610,,0.0
RJTL,10/11/2023,634779,,0.0
RJTL,10/12/2023,610881,,0.0
RJTL,10/13/2023,559238,,0.0
RJTL,10/14/2023,349950,,0.0
RJTL,10/15/2023,54747,,0.0
RJTL,10/16/2023,704538,,0.0
RJTL,10/17/2023,651291,,0.0
RJTL,10/18/2023,632202,,0.0
RJTL,10/19/2023,599808,,0.0
RJTL,10/20/2023,547547,,0.0
RJTL,10/21/2023,344144,,0.0
RJTL,10/22/2023,52982,,0.0
RJTL,10/23/2023,688277,,0.0
RJTL,10/24/2023,631376,,0.0
RJTL,10/25/2023,622903,,0.0
RJTL,10/26/2023,593268,,0.0
RJTL,10/27/2023,540527,,0.0
RJTL,10/28/2023,320853,,0.0
RJTL,10/29/2023,51193,,0.0
RJTL,10/30/2023,665649,,0.0
RJTL,10/31/2023,606498,,0.0
RJTL,11/1/2023,564988,,0.0
RJTL,11/2/2023,589843,,0.0
RJTL,11/3/2023,544384,,0.0
RJTL,11/4/2023,336557,,0.0
RJTL,11/5/2023,45892,,0.0
RJTL,11/6/2023,696064,,0.0
